0,1,2
1,['P' 'O' 'F' 'E' 'K' 'S' 'G' 'X'],['P' 'O' 'F' 'E' 'K' 'F' 'F' 'X']
1,['U' 'L' 'K' 'Q' 'K' 'C' 'N' 'B'],['U' 'L' 'K' 'Q' 'F' 'H' 'J' 'H']
1,['G' 'U' 'Y' 'I' 'X' 'K' 'J' 'L'],['G' 'U' 'I' 'X' 'J' 'H' 'K' 'S']
1,['P' 'V' 'M' 'H' 'T' 'O' 'X' 'R'],['P' 'V' 'M' 'H' 'T' 'Y' 'I' 'K']
1,['W' 'I' 'D' 'W' 'E' 'G' 'U' 'Q'],['W' 'I' 'D' 'W' 'E' 'G' 'U' 'Q']
1,['U' 'F' 'H' 'D' 'H' 'Q' 'N' 'J'],['U' 'F' 'N' 'H' 'G' 'G' 'J' 'L']
1,['L' 'Q' 'I' 'N' 'F' 'Q' 'Z' 'K'],['L' 'Q' 'I' 'N' 'G' 'G' 'G' 'K']
1,['D' 'K' 'K' 'J' 'M' 'H' 'J' 'B'],['D' 'K' 'K' 'J' 'M' 'H' 'H' 'B']
1,['D' 'H' 'C' 'U' 'W' 'L' 'C' 'X'],['D' 'H' 'C' 'U' 'W' 'H' 'L' 'L']
1,['O' 'K' 'D' 'U' 'T' 'V' 'V' 'D'],['O' 'K' 'D' 'U' 'T' 'T' 'V' 'D']
