0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,23.0,83.0,33.0,19.0,47.0,77.0,60.0,68.0,53.0,15.0,23.0,33.0,43.0,19.0,57.0,75.0,45.0,45.0,45.0,32.0
0.5,18.0,62.0,33.0,53.0,84.0,96.0,21.0,60.0,90.0,31.0,31.0,90.0,64.0,23.0,33.0,34.0,23.0,16.0,86.0,87.0
0.5,88.0,67.0,14.0,59.0,70.0,78.0,60.0,74.0,25.0,86.0,25.0,84.0,86.0,75.0,14.0,18.0,62.0,76.0,78.0,89.0
1.0,34.0,37.0,51.0,21.0,87.0,17.0,96.0,16.0,83.0,15.0,34.0,37.0,97.0,83.0,16.0,15.0,76.0,98.0,67.0,23.0
1.0,90.0,43.0,33.0,26.0,98.0,75.0,53.0,32.0,69.0,96.0,69.0,96.0,90.0,33.0,43.0,75.0,76.0,23.0,14.0,43.0
1.0,65.0,83.0,75.0,89.0,26.0,34.0,90.0,18.0,23.0,81.0,90.0,18.0,23.0,63.0,21.0,98.0,91.0,74.0,45.0,34.0
1.5,42.0,84.0,59.0,33.0,39.0,81.0,28.0,10.0,29.0,93.0,42.0,84.0,10.0,29.0,81.0,91.0,33.0,24.0,65.0,85.0
1.5,41.0,11.0,24.0,51.0,21.0,72.0,66.0,95.0,18.0,94.0,75.0,91.0,24.0,22.0,51.0,21.0,72.0,43.0,95.0,34.0
1.5,65.0,53.0,18.0,29.0,46.0,22.0,74.0,10.0,34.0,70.0,10.0,70.0,34.0,65.0,29.0,65.0,73.0,23.0,54.0,34.0
2.5,96,97,26,21,72,47,56,69,70,18,96,97,21,57,69,77,72,27,26,67
2.5,50,57,17,47,14,90,81,20,65,66,57,17,47,14,90,20,65,23,25,56
2.5,82,93,36,75,96,42,70,66,47,69,82,93,90,70,47,66,52,42,58,65
